,id,tag,entropy,KL_div,norm_entropy_diff
0,0,classic,7.087146419995445,1.6165749510323875,0.04193362398817454
1,1,sci-fi,6.837037152502583,2.6065821248838854,0.0757443096031633
2,2,dark comedy,6.8597306522068635,3.3820673794061005,0.0726765193061597
3,3,great dialogue,6.053006785971091,7.941105315559838,0.18173240233210292
4,4,so bad it's good,5.876385687030647,8.079985977879979,0.20560868852137656
5,5,tense,7.005643487320904,2.480145364178699,0.05295148854386182
6,6,artificial intelligence,5.903075326140463,7.91074097879851,0.20200068548268357
7,7,philosophical,6.68619621366791,4.94472175957436,0.09613553945215086
8,8,cliche,6.865532999867007,3.697671883589817,0.07189213672596774
9,9,musical,6.391107366527616,4.922295026738853,0.13602672916760059
10,10,horror,6.70036599041233,3.6185802703155634,0.09422001720244523
11,11,unpredictable,6.396332972363233,6.6664013523726915,0.13532031265682126
12,12,oscar (best supporting actress),5.996780574954108,8.160868013274822,0.18933326719838176
13,13,adventure,6.947297562605883,2.305088463023073,0.060838904061208364
14,14,anime,5.7650429719677785,7.4271516257216,0.2206604040065588
15,15,fantasy,6.9313507058196615,2.2554779085784893,0.06299465849106593
16,16,hayao miyazaki,4.620673191923703,10.788987916770571,0.37536049668292576
17,17,post-apocalyptic,6.201860133930326,6.562833325792486,0.16160986228775265
18,18,clint eastwood,5.266320467054204,9.388324503718078,0.28807953641929024
19,19,music,7.098760646613524,1.27425535845023,0.04036357035209206
20,20,art,6.215828293089489,6.293944523506202,0.1597215954406873
21,21,documentary,5.896902638541354,6.968899769017439,0.20283513197043312
22,22,aliens,6.487212292539466,4.895213479881884,0.123034913742244
23,23,amazing photography,5.560245776275473,9.410281495631875,0.2483456380156563
24,24,first contact,5.1905779152571245,10.16609269397974,0.29831869161797203
25,25,james cameron,5.254160621657511,9.947263625837262,0.28972334879759876
26,26,apocalypse,6.19322318867745,6.932701548609347,0.16277743613875836
27,27,arnold schwarzenegger,5.19336552589488,9.68556295041466,0.2979418522155983
28,28,franchise,6.578111725292481,4.571421779484703,0.11074679593597075
29,29,time travel,6.5865751685550125,4.612902946873463,0.10960267671864542
30,30,science fiction,6.574959622232615,4.945177090942542,0.11117290875718479
31,31,unoriginal,5.813522978739277,8.510003762822413,0.21410669936380525
32,32,bad science,6.2812028583356785,6.981637921249009,0.15088402258738004
33,33,good science,3.8063323158342746,11.28912020388929,0.4854460749619469
34,34,hans zimmer,5.6521324427896,9.135719736375723,0.23592406233850913
35,35,philosophical issues,3.5279536019391395,11.366307508058007,0.5230783277439511
36,36,space,6.256072605451019,5.85457788323431,0.15428122209232298
37,37,space travel,6.094022071148008,7.235203370366777,0.17618780605853446
38,38,time-travel,4.769294036610126,10.7769598506711,0.3552693872814313
39,39,visually appealing,7.104140982871667,1.6848532919556136,0.03963623681683158
40,40,bittersweet,6.8345913242568574,3.9284030853727225,0.07607494561163042
41,41,boring,7.276859022191123,0.49925655749620146,0.01628758050351029
42,42,dialogue driven,6.211109532565115,7.186567606540722,0.16035949474838318
43,43,loneliness,6.559820562281651,5.515065209605364,0.11321946225613956
44,44,love story,6.795896298133768,4.222606817526229,0.08130588077939217
45,45,philosophy,6.618903115406237,5.455471720686424,0.10523246661599095
46,46,quirky,6.983004172989098,2.325347470003558,0.05601195386401809
47,47,reflective,6.423658751762362,6.310192493178598,0.1316263138469816
48,48,romantic,6.511670184958078,5.698430027093436,0.11972860638442288
49,49,thought-provoking,6.977736914071692,2.7924492788224327,0.05672400119074992
50,50,wistful,5.676017936048648,9.158706060044416,0.2326951339927665
51,51,american civil war,4.4481999859662995,10.553487178380177,0.39867605552682733
52,52,based on book,6.5977781129485,5.5969788625724615,0.10808822171804763
53,53,culture clash,6.121002369386609,7.422107406322551,0.17254051065565618
54,54,drama,7.213484905012842,0.8511488953219527,0.024854725469873686
55,55,war,6.827702735553826,2.933756670456768,0.07700617022919001
56,56,western,6.033673356117886,7.141392552054606,0.18434596609636772
57,57,buddhism,4.663370961524675,10.027638488288382,0.36958845601081874
58,58,china,5.644550598472261,7.8863124646876805,0.23694900378576136
