,id,entropy,KL_div,norm_entropy_diff
0,0,5.290923313239958,7.763626813887005,0.28473415623812726
1,5,4.165765206886059,10.668481452198737,0.4368412866311988
2,8,5.403792539531109,9.071580725835158,0.269475665876744
3,14,5.914600595831676,6.7649536561392525,0.2004208839871814
4,16,5.759254750160716,7.052281558346213,0.2214216754937774
5,21,6.125492204416941,6.126360174450695,0.17191100859746092
6,29,5.356785713889508,7.366501153774092,0.2758303935517739
7,33,5.576066128825708,8.29440280657182,0.2461864577537799
8,35,4.7665346174035195,10.207621995342498,0.35562486864895504
9,39,5.853670512353704,6.615100394682051,0.2086578598398262
10,41,5.815145960360393,5.9700303113780855,0.21386589151136626
11,50,5.376903284742944,7.300296015128659,0.2731107526802242
12,59,5.38704295845121,8.736553505350662,0.27173999717290775
13,72,5.173294053591404,9.649467212160609,0.3006361428428217
14,92,5.374204472918567,8.48481395864438,0.27347559786932135
15,94,5.280392688698908,8.748769333723128,0.28615776334822185
16,95,5.8112292915123565,7.2150374436290345,0.21439537555081858
17,99,5.697448107523732,5.470086509280193,0.22977715104663696
18,101,5.1946452182752125,9.3814230194053,0.2977497357038924
19,103,5.9775104768614105,6.482000781933752,0.19191626457168323
20,109,6.016411464269545,5.975081503340647,0.18665734359809408
21,113,3.170424701985685,9.928416287522115,0.5713987209236975
22,115,5.351630320515362,8.56032249126329,0.2765273374637099
23,118,5.855015777811946,4.510217362685342,0.20847599698222896
24,120,5.758644034037921,6.910330145084756,0.2215042365813246
25,121,6.065751420716673,6.22448902439222,0.17998720617784147
26,130,4.917430903616793,10.352083604221908,0.33522560124532724
27,138,5.917206471331658,6.812899840996287,0.2000686026124789
28,139,5.293941849002245,8.499633733435886,0.28432608842063783
29,141,5.688085775280722,7.323155904408354,0.23104281982974287
30,143,5.474593982437965,6.784418100672623,0.2599042072102377
31,152,5.583516160920219,7.279152086290161,0.24517930773918822
32,156,4.5414155543626755,7.168555193091537,0.386058115747785
33,158,5.883668319515365,5.356184497979016,0.204602536112718
34,159,5.988202222718128,6.9538529831265565,0.19047087589966158
35,162,5.339542188259587,8.393280661424514,0.27816149989728656
36,166,6.016027961774546,5.09863856926802,0.18670918827990685
37,171,4.977571882410896,7.545988268162642,0.3270953023551158
38,172,3.9989624468152196,10.626683154812476,0.4593909079090809
39,184,4.901004651736589,5.761292669022234,0.3374462225273516
40,189,5.708443307293455,6.417086709145319,0.2282907392475959
41,198,5.580852218805852,7.2227599244649765,0.24553943898497615
42,200,4.848981973173247,10.32804897708446,0.34447903001186897
43,202,5.955642326228826,7.0208352186718335,0.1948725616653466
44,219,5.894128575329763,6.512882329624649,0.20318844196353095
45,222,5.345379962932121,6.4068208935373105,0.2773723066734134
