,id,entropy,KL_div,norm_entropy_diff
0,0,7.087146419995444,1.616574951032392,0.041933623988174545
1,1,6.837037152502582,2.60658212488389,0.07574430960316332
2,2,6.859730652206863,3.3820673794061085,0.07267651930615972
3,3,6.05300678597109,7.941105315559845,0.18173240233210294
4,4,5.876385687030646,8.079985977879982,0.2056086885213766
5,5,7.005643487320902,2.4801453641787043,0.052951488543861946
6,6,5.903075326140462,7.910740978798517,0.2020006854826837
7,7,6.686196213667909,4.944721759574369,0.09613553945215086
8,8,6.865532999867005,3.697671883589824,0.07189213672596786
9,9,6.391107366527617,4.92229502673886,0.13602672916760036
10,10,6.70036599041233,3.6185802703155714,0.09422001720244512
11,11,6.396332972363233,6.666401352372699,0.13532031265682115
12,12,5.996780574954108,8.160868013274827,0.18933326719838164
13,13,6.947297562605882,2.3050884630230764,0.06083890406120837
14,14,5.765042971967774,7.427151625721608,0.2206604040065593
15,15,6.931350705819661,2.2554779085784937,0.06299465849106595
16,16,4.620673191923698,10.788987916770575,0.37536049668292626
17,17,6.201860133930325,6.562833325792493,0.16160986228775265
18,18,5.266320467054202,9.388324503718083,0.2880795364192904
19,19,7.098760646613524,1.2742553584502334,0.04036357035209194
20,20,6.215828293089489,6.29394452350621,0.1597215954406872
21,21,5.896902638541352,6.968899769017445,0.20283513197043326
22,22,6.487212292539466,4.895213479881889,0.1230349137422439
23,23,5.560245776275471,9.41028149563188,0.24834563801565657
24,24,5.190577915257122,10.166092693979742,0.2983186916179723
25,25,5.2541606216575065,9.947263625837268,0.28972334879759926
26,26,6.193223188677448,6.9327015486093515,0.1627774361387586
27,27,5.193365525894875,9.685562950414667,0.2979418522155989
28,28,6.57811172529248,4.571421779484709,0.11074679593597077
29,29,6.586575168555012,4.612902946873469,0.10960267671864543
30,30,6.574959622232614,4.945177090942549,0.11117290875718491
31,31,5.813522978739275,8.510003762822418,0.2141066993638054
32,32,6.281202858335677,6.981637921249015,0.15088402258738015
33,33,3.806332315834273,11.289120203889292,0.48544607496194714
34,34,5.652132442789597,9.135719736375728,0.23592406233850938
35,35,3.5279536019391378,11.366307508058009,0.5230783277439514
36,36,6.256072605451018,5.854577883234315,0.15428122209232298
37,37,6.094022071148008,7.235203370366783,0.17618780605853435
38,38,4.769294036610124,10.776959850671101,0.3552693872814315
39,39,7.104140982871668,1.6848532919556174,0.039636236816831344
40,40,6.8345913242568574,3.9284030853727305,0.0760749456116303
41,41,7.276859022191123,0.49925655749620246,0.01628758050351017
42,42,6.211109532565114,7.186567606540731,0.16035949474838318
43,43,6.559820562281649,5.515065209605373,0.11321946225613969
44,44,6.7958962981337665,4.222606817526236,0.0813058807793923
45,45,6.618903115406235,5.4554717206864325,0.10523246661599107
46,46,6.983004172989098,2.325347470003563,0.05601195386401798
47,47,6.4236587517623605,6.310192493178608,0.13162631384698173
48,48,6.511670184958076,5.698430027093444,0.11972860638442301
49,49,6.977736914071693,2.7924492788224393,0.05672400119074969
50,50,5.676017936048648,9.158706060044421,0.2326951339927664
51,51,4.448199985966294,10.55348717838018,0.398676055526828
52,52,6.5977781129484985,5.5969788625724695,0.10808822171804776
53,53,6.121002369386611,7.42210740632256,0.17254051065565584
54,54,7.213484905012841,0.8511488953219543,0.02485472546987369
55,55,6.8277027355538245,2.9337566704567744,0.07700617022919015
56,56,6.033673356117884,7.141392552054613,0.18434596609636786
57,57,4.6633709615246675,10.027638488288387,0.36958845601081963
58,58,5.644550598472262,7.886312464687686,0.23694900378576114
